date,game_id,team,opponent,player_id,name,minutes,points,goals,assists,shots_on_goal,home_or_away,power_play_assists,power_play_goals,goal_tending_goals_against
2025-11-01,23113,BOS,FLA,30000607,David Pastrnak,25,3.0,2.0,1.0,4.0,0,1.0,1.0,
2025-11-01,23113,BOS,FLA,30004858,Mason Lohrei,20,2.0,0.0,2.0,1.0,0,2.0,0.0,
2025-11-01,23113,BOS,FLA,30003991,Jeremy Swayman,0,0.0,0.0,0.0,,0,0.0,0.0,
2025-11-01,23113,BOS,FLA,30003704,Morgan Geekie,18,2.0,1.0,1.0,1.0,0,0.0,1.0,
2025-11-01,23113,BOS,FLA,30004085,Oliver Wahlstrom,8,1.0,1.0,0.0,1.0,0,0.0,0.0,
2025-11-01,23113,BOS,FLA,30003147,Charlie McAvoy,21,1.0,0.0,1.0,2.0,0,0.0,0.0,
2025-11-01,23113,BOS,FLA,30003157,Trent Frederic,14,1.0,0.0,1.0,1.0,0,0.0,0.0,
2025-11-01,23113,BOS,FLA,30003391,Justin Brazeau,13,1.0,0.0,1.0,,0,0.0,0.0,
2025-11-01,23113,BOS,FLA,30000636,Elias Lindholm,23,1.0,0.0,1.0,1.0,0,1.0,0.0,
2025-11-01,23113,BOS,FLA,30001088,Brandon Carlo,20,0.0,0.0,0.0,1.0,0,0.0,0.0,
2025-11-01,23113,BOS,FLA,30001078,Jordan Oesterle,17,0.0,0.0,0.0,,0,0.0,0.0,
2025-11-01,23113,BOS,FLA,30000805,Charlie Coyle,20,0.0,0.0,0.0,,0,0.0,0.0,
2025-11-01,23113,BOS,FLA,30005561,Marc McLaughlin,4,0.0,0.0,0.0,,0,0.0,0.0,
2025-11-01,23113,BOS,FLA,30000909,Nikita Zadorov,21,0.0,0.0,0.0,1.0,0,0.0,0.0,
2025-11-01,23113,BOS,FLA,30004493,John Beecher,8,0.0,0.0,0.0,,0,0.0,0.0,
2025-11-01,23113,BOS,FLA,30004945,Cole Koepke,6,0.0,0.0,0.0,,0,0.0,0.0,
2025-11-01,23113,BOS,FLA,30000393,Joonas Korpisalo,0,0.0,0.0,0.0,,0,0.0,0.0,
2025-11-01,23113,BOS,FLA,30003912,Mark Kastelic,0,0.0,0.0,0.0,,0,0.0,0.0,
2025-11-01,23113,BOS,FLA,30003099,Parker Wotherspoon,0,0.0,0.0,0.0,,0,0.0,0.0,
2025-11-01,23113,BOS,FLA,30000995,Pavel Zacha,23,0.0,0.0,0.0,2.0,0,0.0,0.0,
2025-11-01,23113,BOS,FLA,30000074,Brad Marchand,21,0.0,0.0,0.0,2.0,0,0.0,0.0,
