bt_date,name,team,opponent,predicted_pts,elfies,actual,hit_1pt,hit_2pt
2025-12-14,Leon Draisaitl,EDM,MON,2.0669126984126986,1.7127006837198075,0.0,False,False
2025-12-14,Connor McDavid,EDM,MON,1.8570383597883597,1.5136309331341198,1.0,True,False
2025-12-14,Bryan Rust,PIT,UTA,1.967364417989418,1.4788927532146603,1.0,True,False
2025-12-14,Anthony Mantha,PIT,UTA,1.7386210317460318,1.2606619678912896,0.0,False,False
2025-12-14,Colton White,NJ,VAN,1.4344960317460318,1.2416860714918343,0.0,False,False
2025-12-14,Owen Tippett,PHI,CAR,1.740207671957672,1.1700173522347086,0.0,False,False
2025-12-14,Stefan Noesen,NJ,VAN,1.189348544973545,0.9373154344448305,0.0,False,False
2025-12-14,Cody Glass,NJ,VAN,1.189348544973545,0.9373154344448305,0.0,False,False
2025-12-14,Ondrej Palat,NJ,VAN,1.1989867724867724,0.8875915276591371,0.0,False,False
2025-12-14,Travis Konecny,PHI,CAR,1.0671058201058201,0.8574128606030066,1.0,True,False
2025-12-14,Trevor Zegras,PHI,CAR,1.0561911375661377,0.7578350621466202,2.0,True,True
2025-12-14,Travis Sanheim,PHI,CAR,1.1431812169312168,0.7430027261864246,0.0,False,False
2025-12-14,Juho Lammikko,NJ,VAN,1.1198644179894182,0.7008340367450121,0.0,False,False
2025-12-14,Dennis Cholowski,NJ,VAN,1.1198644179894182,0.7008340367450121,0.0,False,False
2025-12-14,Alec Regula,EDM,MON,1.1257227633477636,0.6837292677635701,0.0,False,False
2025-12-14,Evan Bouchard,EDM,MON,0.9860911495911496,0.6777866097813406,1.0,True,False
2025-12-14,Zach Hyman,EDM,MON,0.9907671957671957,0.629216792430081,1.0,True,False
2025-12-14,Shayne Gostisbehere,CAR,PHI,1.0315621693121693,0.6038253969965658,0.0,False,False
2025-12-14,Benjamin Kindel,PIT,UTA,1.0964980158730158,0.5999489529651856,3.0,True,True
2025-12-14,Sidney Crosby,PIT,UTA,1.0391990740740742,0.5723592263748788,0.0,False,False
2025-12-14,Erik Karlsson,PIT,UTA,1.0756759259259259,0.5575647616318826,1.0,True,False
2025-12-14,Paul Cotter,NJ,VAN,0.9750403439153439,0.5229292618836782,0.0,False,False
2025-12-14,Andrei Svechnikov,CAR,PHI,0.9379486531986531,0.5165935756846857,0.0,False,False
2025-12-14,Seth Jarvis,CAR,PHI,0.9379486531986531,0.5165935756846857,0.0,False,False
2025-12-14,Marcus Johansson,MIN,BOS,0.9379486531986531,0.5165935756846857,1.0,True,False
2025-12-14,Nick Suzuki,MON,EDM,1.0111084656084657,0.5132411872220533,1.0,True,False
2025-12-14,Kris Letang,PIT,UTA,1.019648148148148,0.5102989978054715,1.0,True,False
2025-12-14,Connor Brown,NJ,VAN,0.976792748917749,0.437106210554144,0.0,False,False
2025-12-14,Joe Veleno,MON,EDM,0.9132367724867726,0.43112968713451644,1.0,True,False
2025-12-14,Cole Caufield,MON,EDM,0.85275,0.4116210070179416,0.0,False,False
2025-12-14,Juraj Slafkovsky,MON,EDM,0.8734715608465607,0.4031251870994646,2.0,True,True
2025-12-14,Oliver Kapanen,MON,EDM,0.8734715608465607,0.4031251870994646,0.0,False,False
2025-12-14,Lane Hutson,MON,EDM,0.9145416666666665,0.3917166661275389,2.0,True,True
2025-12-14,Eric Robinson,CAR,PHI,0.8196268037518037,0.36964499249623045,0.0,False,False
2025-12-14,Nico Sturm,MIN,BOS,0.8196268037518037,0.36964499249623045,0.0,False,False
2025-12-14,Alexandre Carrier,MON,EDM,0.8271415343915343,0.3629164552391338,0.0,False,False
2025-12-14,Alexander Nikishin,CAR,PHI,0.7506243386243386,0.3623251200899756,1.0,True,False
2025-12-14,Joel Nystrom,CAR,PHI,0.7506243386243386,0.3623251200899756,0.0,False,False
2025-12-14,Darnell Nurse,EDM,MON,0.8558154761904763,0.3621093841225871,0.0,False,False
2025-12-14,Ryan Nugent-Hopkins,EDM,MON,0.7871878306878307,0.36053719553231517,0.0,False,False
2025-12-14,Connor Dewar,PIT,UTA,0.807688492063492,0.35438124225348283,0.0,False,False
2025-12-14,Vasily Podkolzin,EDM,MON,0.7725978835978835,0.3055960500773732,0.0,False,False
2025-12-14,Mattias Janmark,EDM,MON,0.7725978835978835,0.3055960500773732,0.0,False,False
2025-12-14,Ivan Demidov,MON,EDM,0.8366279461279461,0.29682159351343984,1.0,True,False
2025-12-14,Matt Savoie,EDM,MON,0.7999734432234432,0.2865116501640662,0.0,False,False
2025-12-14,Jake Evans,MON,EDM,0.7553528138528137,0.2730788711655417,0.0,False,False
2025-12-14,Danila Yurov,MIN,BOS,0.7014973544973545,0.27147336233741226,0.0,False,False
2025-12-14,Taylor Hall,CAR,PHI,0.65849518999519,0.25483189945755025,1.0,True,False
2025-12-14,Ryan Hartman,MIN,BOS,0.6978359788359788,0.24993096900131384,3.0,True,True
2025-12-14,Spencer Stastney,EDM,MON,0.8416335978835979,0.2497407180102188,0.0,False,False
2025-12-14,Jesper Bratt,NJ,VAN,0.6992083333333333,0.21895098919463585,1.0,True,False
2025-12-14,Logan Stankoven,CAR,PHI,0.6001487493987493,0.1731940345090291,0.0,False,False
2025-12-14,Parker Wotherspoon,PIT,UTA,0.6538611111111111,0.1665963500028226,0.0,False,False
2025-12-14,Noel Acciari,PIT,UTA,0.6901338985088986,0.15301964565429468,0.0,False,False
2025-12-14,Jamie Drysdale,PHI,CAR,0.6117056878306878,0.1519674014560891,1.0,True,False
2025-12-14,Joel Eriksson Ek,MIN,BOS,0.6288644179894181,0.14927593903320246,1.0,True,False
2025-12-14,Zachary Bolduc,MON,EDM,0.6235720899470899,0.14703887603710425,0.0,False,False
2025-12-14,Luke Hughes,NJ,VAN,0.5713921957671958,0.14467478465862268,1.0,True,False
2025-12-14,Kevin Hayes,PIT,UTA,0.5904007936507937,0.14387041827824795,0.0,False,False
2025-12-14,Rickard Rakell,PIT,UTA,0.6271633597883598,0.13905752969028273,1.0,True,False
2025-12-14,Alexandre Texier,MON,EDM,0.5975925925925926,0.1352953289973737,1.0,True,False
2025-12-14,Brendan Gallagher,MON,EDM,0.5975925925925926,0.1352953289973737,0.0,False,False
