bt_date,n_players,field_hit1_rate,field_hit2_rate,field_avg_actual,n_field,top_5_hit1_rate,top_5_hit2_rate,top_5_avg_actual,top_5_lift_hit1,top_5_lift_hit2,top_5_lift_avg,top_10_hit1_rate,top_10_hit2_rate,top_10_avg_actual,top_10_lift_hit1,top_10_lift_hit2,top_10_lift_avg,top_20_hit1_rate,top_20_hit2_rate,top_20_avg_actual,top_20_lift_hit1,top_20_lift_hit2,top_20_lift_avg,v1_top_5_hit1_rate,v1_top_5_hit2_rate,v1_top_5_avg_actual,v1_top_5_lift_hit1,v1_top_5_lift_hit2,v1_top_5_lift_avg,v1_top_10_hit1_rate,v1_top_10_hit2_rate,v1_top_10_avg_actual,v1_top_10_lift_hit1,v1_top_10_lift_hit2,v1_top_10_lift_avg,v1_top_20_hit1_rate,v1_top_20_hit2_rate,v1_top_20_avg_actual,v1_top_20_lift_hit1,v1_top_20_lift_hit2,v1_top_20_lift_avg,std_top_5_hit1_rate,std_top_5_hit2_rate,std_top_5_avg_actual,std_top_5_lift_hit1,std_top_5_lift_hit2,std_top_5_lift_avg,std_top_10_hit1_rate,std_top_10_hit2_rate,std_top_10_avg_actual,std_top_10_lift_hit1,std_top_10_lift_hit2,std_top_10_lift_avg,std_top_20_hit1_rate,std_top_20_hit2_rate,std_top_20_avg_actual,std_top_20_lift_hit1,std_top_20_lift_hit2,std_top_20_lift_avg,bkt_rare_pct_field,bkt_rare_pct_top10,bkt_rare_hit1_rate,bkt_occasional_pct_field,bkt_occasional_pct_top10,bkt_occasional_hit1_rate,bkt_star_pct_field,bkt_star_pct_top10,bkt_star_hit1_rate,calibration_80,mae,spearman_elfies_v2,spearman_elfies_v1,spearman_elfies_standout,bkt_reliable_pct_field,bkt_reliable_pct_top10,bkt_reliable_hit1_rate
2025-11-03,502,0.255,0.0498,0.3147,502,0.4,0.2,0.8,1.5688,4.016,2.5418,0.6,0.2,0.9,2.3531,4.016,2.8595,0.5,0.15,0.75,1.9609,3.012,2.3829,0.6,0.4,1.2,2.3531,8.032,3.8127,0.7,0.2,1.0,2.7453,4.016,3.1772,0.55,0.15,0.75,2.157,3.012,2.3829,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.3922,0.0,0.3177,0.2,0.05,0.3,0.7844,1.004,0.9532,0.663,0.0,0.2252,0.161,0.0,0.1852,0.175,1.0,0.4318,0.7928,0.3722,0.1807,0.1856,0.094,,,
2025-11-04,246,0.248,0.061,0.3171,246,0.4,0.4,0.8,1.6131,6.56,2.5231,0.6,0.2,0.8,2.4197,3.28,2.5231,0.5,0.15,0.65,2.0164,2.46,2.05,0.4,0.4,0.8,1.6131,6.56,2.5231,0.4,0.2,0.6,1.6131,3.28,1.8923,0.5,0.15,0.65,2.0164,2.46,2.05,0.6,0.0,0.6,2.4197,0.0,1.8923,0.4,0.0,0.4,1.6131,0.0,1.2615,0.3,0.0,0.3,1.2098,0.0,0.9462,0.533,0.0,0.1756,0.313,0.0,0.2468,0.154,1.0,0.5,0.8293,0.3744,0.2844,0.2786,0.1245,,,
2025-11-05,123,0.1545,0.0407,0.2033,123,0.2,0.0,0.2,1.2947,0.0,0.984,0.3,0.0,0.3,1.9421,0.0,1.476,0.35,0.0,0.35,2.2658,0.0,1.722,0.4,0.0,0.4,2.5895,0.0,1.968,0.3,0.0,0.3,1.9421,0.0,1.476,0.3,0.0,0.3,1.9421,0.0,1.476,0.2,0.0,0.2,1.2947,0.0,0.984,0.4,0.2,0.6,2.5895,4.92,2.952,0.25,0.1,0.35,1.6184,2.46,1.722,0.569,0.3,0.1571,0.358,0.3,0.0909,0.073,0.4,0.4444,0.9024,0.251,0.1511,0.2639,0.2164,,,
2025-11-10,727,0.293,0.088,0.403,727,0.8,0.2,1.2,2.7305,2.2719,2.9775,0.6,0.3,1.0,2.0479,3.4078,2.4812,0.45,0.2,0.7,1.5359,2.2719,1.7369,0.8,0.4,1.4,2.7305,4.5438,3.4737,0.7,0.3,1.2,2.3892,3.4078,2.9775,0.5,0.2,0.8,1.7066,2.2719,1.985,0.4,0.0,0.4,1.3653,0.0,0.9925,0.3,0.0,0.3,1.0239,0.0,0.7444,0.35,0.05,0.45,1.1946,0.568,1.1166,0.535,0.0,0.2339,0.285,0.1,0.2802,0.155,0.9,0.4956,0.7717,0.4656,0.227,0.2246,0.1436,0.025,0.0,0.4444
2025-11-11,409,0.2494,0.0465,0.3081,409,0.8,0.2,1.0,3.2078,4.3053,3.246,0.6,0.1,0.7,2.4059,2.1526,2.2722,0.5,0.1,0.65,2.0049,2.1526,2.1099,0.8,0.2,1.0,3.2078,4.3053,3.246,0.5,0.1,0.6,2.0049,2.1526,1.9476,0.45,0.05,0.5,1.8044,1.0763,1.623,0.4,0.0,0.4,1.6039,0.0,1.2984,0.2,0.0,0.2,0.802,0.0,0.6492,0.15,0.0,0.15,0.6015,0.0,0.4869,0.511,0.0,0.1531,0.232,0.0,0.2842,0.188,1.0,0.3766,0.8386,0.4808,0.2457,0.2406,0.0581,0.068,0.0,0.5
2025-11-12,588,0.3078,0.102,0.4456,588,0.4,0.2,0.6,1.2994,1.96,1.3466,0.5,0.2,0.9,1.6243,1.96,2.0198,0.55,0.15,0.8,1.7867,1.47,1.7954,0.2,0.0,0.2,0.6497,0.0,0.4489,0.4,0.0,0.4,1.2994,0.0,0.8977,0.4,0.15,0.65,1.2994,1.47,1.4588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.05,0.25,0.6497,0.49,0.5611,0.539,0.0,0.2208,0.228,0.0,0.3582,0.134,0.6,0.5443,0.7823,0.5169,0.2705,0.2695,0.0556,0.099,0.4,0.3448
2025-11-13,453,0.3377,0.0927,0.4592,453,1.0,0.8,2.2,2.9608,8.6286,4.7913,0.9,0.6,1.8,2.6647,6.4714,3.9202,0.75,0.35,1.25,2.2206,3.775,2.7224,1.0,0.4,1.8,2.9608,4.3143,3.9202,0.7,0.3,1.2,2.0725,3.2357,2.6135,0.75,0.3,1.2,2.2206,3.2357,2.6135,0.2,0.0,0.2,0.5922,0.0,0.4356,0.3,0.0,0.3,0.8882,0.0,0.6534,0.35,0.05,0.4,1.0363,0.5393,0.8712,0.561,0.0,0.2283,0.177,0.0,0.4,0.113,0.7,0.4902,0.8278,0.4971,0.3094,0.3022,0.1389,0.15,0.3,0.5588
2025-11-14,182,0.2363,0.0659,0.3352,182,0.4,0.0,0.4,1.693,0.0,1.1934,0.5,0.0,0.5,2.1163,0.0,1.4918,0.6,0.05,0.7,2.5395,0.7583,2.0885,0.2,0.0,0.2,0.8465,0.0,0.5967,0.5,0.0,0.5,2.1163,0.0,1.4918,0.55,0.1,0.75,2.3279,1.5167,2.2377,0.4,0.0,0.4,1.693,0.0,1.1934,0.3,0.1,0.4,1.2698,1.5167,1.1934,0.3,0.1,0.4,1.2698,1.5167,1.1934,0.582,0.1,0.1321,0.209,0.2,0.2632,0.088,0.4,0.5,0.8681,0.4633,0.3069,0.3021,0.1019,0.121,0.3,0.5
2025-11-15,590,0.2288,0.0441,0.2831,590,0.8,0.4,1.2,3.4963,9.0769,4.2395,0.7,0.4,1.2,3.0593,9.0769,4.2395,0.5,0.25,0.85,2.1852,5.6731,3.003,0.6,0.2,0.8,2.6222,4.5385,2.8263,0.6,0.2,0.8,2.6222,4.5385,2.8263,0.6,0.35,1.05,2.6222,7.9423,3.7096,0.6,0.0,0.6,2.6222,0.0,2.1198,0.3,0.0,0.3,1.3111,0.0,1.0599,0.3,0.0,0.3,1.3111,0.0,1.0599,0.512,0.0,0.1424,0.224,0.0,0.2273,0.131,0.9,0.5455,0.8492,0.456,0.3345,0.3299,0.0837,0.134,0.1,0.2532
2025-11-16,226,0.2566,0.031,0.2965,226,0.6,0.0,0.6,2.3379,0.0,2.0239,0.7,0.2,0.9,2.7276,6.4571,3.0358,0.6,0.15,0.75,2.3379,4.8429,2.5299,0.4,0.0,0.4,1.5586,0.0,1.3493,0.4,0.0,0.4,1.5586,0.0,1.3493,0.55,0.15,0.7,2.1431,4.8429,2.3612,0.2,0.0,0.2,0.7793,0.0,0.6746,0.2,0.0,0.2,0.7793,0.0,0.6746,0.15,0.0,0.15,0.5845,0.0,0.506,0.562,0.0,0.1496,0.19,0.0,0.3256,0.119,0.9,0.4815,0.8673,0.3852,0.3417,0.3419,0.0895,0.128,0.1,0.4138
