bt_date,n_players,spearman_elfies_v1,spearman_elfies_v1_pval,spearman_elfies_v2,spearman_elfies_v2_pval,spearman_elfies_v3,spearman_elfies_v3_pval,spearman_elfies_v4,spearman_elfies_v4_pval,spearman_elfies_standout,spearman_elfies_standout_pval,hit1_at_07,n_hit1_at_07,hit2_at_15,n_hit2_at_15,calibration_80,mae
2025-10-12,180,-0.0147,0.8452,-0.0064,0.9322,-0.0157,0.8338,-0.0147,0.8452,0.0227,0.7623,0.0,4,,0,0.7167,0.4067
2025-10-13,457,0.1353,0.0038,0.1276,0.0063,0.1348,0.0039,0.1353,0.0038,0.1128,0.0159,0.6667,3,,0,0.7746,0.3792
2025-10-14,364,0.101,0.0541,0.0647,0.2183,0.0988,0.0596,0.101,0.0541,0.0753,0.1519,,0,,0,0.717,0.4584
2025-10-15,182,0.3507,0.0,0.3498,0.0,0.2128,0.0039,0.3507,0.0,0.2423,0.001,,0,,0,0.7912,0.4694
2025-10-16,498,0.3704,0.0,0.3827,0.0,0.2734,0.0,0.3704,0.0,0.2276,0.0,0.75,4,,0,0.8112,0.4379
2025-10-17,183,0.2274,0.002,0.2266,0.002,0.3013,0.0,0.2274,0.002,0.1998,0.0067,0.0,2,,0,0.8033,0.4684
2025-10-18,590,0.3621,0.0,0.3767,0.0,0.2429,0.0,0.3621,0.0,0.1231,0.0027,0.75,4,,0,0.8339,0.4079
2025-10-19,183,0.2571,0.0004,0.2816,0.0001,0.0272,0.7144,0.2571,0.0004,0.1231,0.0969,0.0,1,,0,0.8579,0.4041
2025-10-20,229,0.3046,0.0,0.3125,0.0,0.2369,0.0003,0.3046,0.0,0.1257,0.0575,1.0,1,,0,0.8515,0.4192
2025-10-21,452,0.3025,0.0,0.2828,0.0,0.2642,0.0,0.3025,0.0,0.2071,0.0,1.0,1,,0,0.8252,0.4096
2025-10-22,136,0.3902,0.0,0.4042,0.0,0.2508,0.0032,0.3902,0.0,0.1271,0.1404,,0,,0,0.9118,0.3745
2025-10-23,541,0.3766,0.0,0.3764,0.0,0.2745,0.0,0.3766,0.0,0.1571,0.0002,1.0,1,,0,0.8078,0.4797
2025-10-24,183,0.1999,0.0067,0.2265,0.002,0.2415,0.001,0.1999,0.0067,-0.0184,0.8046,1.0,1,,0,0.8197,0.5351
2025-10-25,591,0.2734,0.0,0.2856,0.0,0.1977,0.0,0.2734,0.0,0.0264,0.5212,0.6667,6,,0,0.819,0.5235
2025-10-26,364,0.3702,0.0,0.3828,0.0,0.2387,0.0,0.3702,0.0,0.1584,0.0024,,0,,0,0.8571,0.4105
2025-10-27,91,0.4478,0.0,0.4353,0.0,0.2549,0.0147,0.4478,0.0,0.1009,0.3413,,0,,0,0.8242,0.5649
2025-10-28,726,0.2773,0.0,0.2928,0.0,0.187,0.0,0.2773,0.0,0.0541,0.1456,1.0,3,,0,0.8292,0.5025
2025-10-29,45,0.2824,0.0602,0.261,0.0833,0.1928,0.2046,0.2824,0.0602,0.2278,0.1323,,0,,0,0.8889,0.6302
2025-10-30,500,0.3374,0.0,0.3441,0.0,0.227,0.0,0.3374,0.0,0.1185,0.008,0.3333,3,,0,0.866,0.4487
2025-10-31,134,0.3519,0.0,0.3494,0.0,0.1676,0.0529,0.3519,0.0,0.0959,0.2704,0.6667,3,,0,0.8806,0.4579
2025-11-01,679,0.2015,0.0,0.2091,0.0,0.1836,0.0,0.2015,0.0,0.1175,0.0022,0.75,4,,0,0.8527,0.3927
2025-11-03,502,0.3032,0.0,0.3014,0.0,0.2073,0.0,0.3032,0.0,0.149,0.0008,,0,,0,0.8606,0.3747
2025-11-04,246,0.3444,0.0,0.3602,0.0,0.2203,0.0005,0.3444,0.0,0.1536,0.0159,1.0,1,,0,0.8699,0.3854
2025-11-05,123,0.2769,0.0019,0.2774,0.0019,0.1905,0.0348,0.2769,0.0019,0.1128,0.2143,,0,,0,0.9106,0.2562
2025-11-10,727,0.2564,0.0,0.2626,0.0,0.197,0.0,0.2564,0.0,0.0586,0.1142,1.0,1,,0,0.8239,0.4981
2025-11-11,409,0.2327,0.0,0.2367,0.0,0.1888,0.0001,0.2327,0.0,-0.018,0.7165,0.5714,7,,0,0.8606,0.4997
2025-11-12,588,0.2822,0.0,0.2757,0.0,0.2185,0.0,0.2822,0.0,0.0365,0.3769,1.0,1,,0,0.8027,0.5196
2025-11-13,453,0.2951,0.0,0.3045,0.0,0.208,0.0,0.2951,0.0,0.0726,0.1227,1.0,4,,0,0.8278,0.4987
2025-11-14,182,0.2891,0.0001,0.2944,0.0001,0.2538,0.0005,0.2891,0.0001,0.0426,0.5683,,0,,0,0.8626,0.4814
2025-11-15,590,0.3151,0.0,0.3185,0.0,0.2326,0.0,0.3151,0.0,0.1116,0.0066,0.75,8,,0,0.8644,0.4608
