bt_date,n_players,field_hit1_rate,field_hit2_rate,field_avg_actual,n_field,top_5_hit1_rate,top_5_hit2_rate,top_5_avg_actual,top_5_lift_hit1,top_5_lift_hit2,top_5_lift_avg,top_10_hit1_rate,top_10_hit2_rate,top_10_avg_actual,top_10_lift_hit1,top_10_lift_hit2,top_10_lift_avg,top_20_hit1_rate,top_20_hit2_rate,top_20_avg_actual,top_20_lift_hit1,top_20_lift_hit2,top_20_lift_avg,calibration_80,mae,spearman_elfies_v2,spearman_elfies_v1,spearman_elfies_standout
2025-10-12,180,0.2389,0.0611,0.3167,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.4186,0.0,0.3158,0.7167,0.4067,-0.0064,-0.0147,0.0227
2025-10-13,457,0.2713,0.0547,0.3304,457,0.4,0.0,0.4,1.4742,0.0,1.2106,0.3,0.0,0.3,1.1056,0.0,0.9079,0.35,0.0,0.35,1.2899,0.0,1.0593,0.7746,0.3792,0.1276,0.1353,0.1128
2025-10-14,364,0.3159,0.0742,0.4093,364,0.4,0.0,0.4,1.2661,0.0,0.9772,0.4,0.0,0.4,1.2661,0.0,0.9772,0.4,0.15,0.6,1.2661,2.0222,1.4658,0.717,0.4584,0.0647,0.101,0.0753
2025-10-15,182,0.3132,0.1099,0.456,182,0.4,0.4,0.8,1.2772,3.64,1.7542,0.5,0.3,0.8,1.5965,2.73,1.7542,0.55,0.3,0.85,1.7561,2.73,1.8639,0.7912,0.4694,0.3498,0.3507,0.2423
2025-10-16,498,0.2892,0.0582,0.3554,498,0.8,0.0,0.8,2.7667,0.0,2.2508,0.5,0.1,0.6,1.7292,1.7172,1.6881,0.6,0.05,0.65,2.075,0.8586,1.8288,0.8112,0.4379,0.3827,0.3704,0.2276
2025-10-17,183,0.2459,0.0492,0.3279,183,0.2,0.0,0.2,0.8133,0.0,0.61,0.4,0.2,0.8,1.6267,4.0667,2.44,0.45,0.15,0.7,1.83,3.05,2.135,0.8033,0.4684,0.2266,0.2274,0.1998
2025-10-18,590,0.2678,0.0559,0.339,590,0.8,0.4,1.6,2.9873,7.1515,4.72,0.7,0.4,1.5,2.6139,7.1515,4.425,0.55,0.3,1.05,2.0538,5.3636,3.0975,0.8339,0.4079,0.3767,0.3621,0.1231
2025-10-19,183,0.235,0.0656,0.3169,183,0.8,0.8,1.6,3.4047,12.2,5.0483,0.5,0.5,1.2,2.1279,7.625,3.7862,0.55,0.3,0.95,2.3407,4.575,2.9974,0.8579,0.4041,0.2816,0.2571,0.1231
2025-10-20,229,0.262,0.0306,0.2969,229,0.6,0.2,0.8,2.29,6.5429,2.6941,0.6,0.2,0.8,2.29,6.5429,2.6941,0.45,0.1,0.55,1.7175,3.2714,1.8522,0.8515,0.4192,0.3125,0.3046,0.1257
2025-10-21,452,0.2987,0.0531,0.3628,452,1.0,0.2,1.4,3.3481,3.7667,3.8585,1.0,0.3,1.4,3.3481,5.65,3.8585,0.75,0.25,1.1,2.5111,4.7083,3.0317,0.8252,0.4096,0.2828,0.3025,0.2071
2025-10-22,136,0.2574,0.0221,0.2868,136,0.8,0.0,0.8,3.1086,0.0,2.7897,0.8,0.0,0.8,3.1086,0.0,2.7897,0.6,0.0,0.6,2.3314,0.0,2.0923,0.9118,0.3745,0.4042,0.3902,0.1271
2025-10-23,541,0.3161,0.1035,0.4603,541,0.4,0.4,1.0,1.2655,3.8643,2.1727,0.5,0.4,1.0,1.5819,3.8643,2.1727,0.6,0.45,1.2,1.8982,4.3473,2.6072,0.8078,0.4797,0.3764,0.3766,0.1571
