bt_date,n_players,field_hit1_rate,field_hit2_rate,field_avg_actual,n_field,top_5_hit1_rate,top_5_hit2_rate,top_5_avg_actual,top_5_lift_hit1,top_5_lift_hit2,top_5_lift_avg,top_10_hit1_rate,top_10_hit2_rate,top_10_avg_actual,top_10_lift_hit1,top_10_lift_hit2,top_10_lift_avg,top_20_hit1_rate,top_20_hit2_rate,top_20_avg_actual,top_20_lift_hit1,top_20_lift_hit2,top_20_lift_avg,v1_top_5_hit1_rate,v1_top_5_hit2_rate,v1_top_5_avg_actual,v1_top_5_lift_hit1,v1_top_5_lift_hit2,v1_top_5_lift_avg,v1_top_10_hit1_rate,v1_top_10_hit2_rate,v1_top_10_avg_actual,v1_top_10_lift_hit1,v1_top_10_lift_hit2,v1_top_10_lift_avg,v1_top_20_hit1_rate,v1_top_20_hit2_rate,v1_top_20_avg_actual,v1_top_20_lift_hit1,v1_top_20_lift_hit2,v1_top_20_lift_avg,std_top_5_hit1_rate,std_top_5_hit2_rate,std_top_5_avg_actual,std_top_5_lift_hit1,std_top_5_lift_hit2,std_top_5_lift_avg,std_top_10_hit1_rate,std_top_10_hit2_rate,std_top_10_avg_actual,std_top_10_lift_hit1,std_top_10_lift_hit2,std_top_10_lift_avg,std_top_20_hit1_rate,std_top_20_hit2_rate,std_top_20_avg_actual,std_top_20_lift_hit1,std_top_20_lift_hit2,std_top_20_lift_avg,bkt_rare_pct_field,bkt_rare_pct_top10,bkt_rare_hit1_rate,bkt_occasional_pct_field,bkt_occasional_pct_top10,bkt_occasional_hit1_rate,bkt_star_pct_field,bkt_star_pct_top10,bkt_star_hit1_rate,calibration_80,mae,spearman_elfies_v2,spearman_elfies_v1,spearman_elfies_standout,bkt_reliable_pct_field,bkt_reliable_pct_top10,bkt_reliable_hit1_rate
2025-10-12,180,0.2389,0.0611,0.3167,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.4186,0.0,0.3158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.15,0.4186,0.8182,0.4737,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.6,2.093,1.6364,1.8947,0.35,0.1,0.5,1.4651,1.6364,1.5789,0.139,0.2,0.28,0.778,0.0,0.25,0.083,0.8,0.0667,0.7167,0.4067,-0.0064,-0.0147,0.0227,,,
2025-10-13,457,0.2713,0.0547,0.3304,457,0.4,0.0,0.4,1.4742,0.0,1.2106,0.3,0.0,0.3,1.1056,0.0,0.9079,0.35,0.0,0.35,1.2899,0.0,1.0593,0.6,0.0,0.6,2.2113,0.0,1.8159,0.3,0.0,0.3,1.1056,0.0,0.9079,0.4,0.1,0.5,1.4742,1.828,1.5132,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.3685,0.0,0.3026,0.2,0.05,0.25,0.7371,0.914,0.7566,0.28,0.0,0.1875,0.602,0.2,0.2691,0.118,0.8,0.4815,0.7746,0.3792,0.1276,0.1353,0.1128,,,
2025-10-14,364,0.3159,0.0742,0.4093,364,0.4,0.0,0.4,1.2661,0.0,0.9772,0.4,0.0,0.4,1.2661,0.0,0.9772,0.4,0.15,0.6,1.2661,2.0222,1.4658,0.2,0.0,0.2,0.633,0.0,0.4886,0.5,0.0,0.5,1.5826,0.0,1.2215,0.4,0.15,0.55,1.2661,2.0222,1.3436,0.6,0.4,1.0,1.8991,5.3926,2.443,0.4,0.2,0.6,1.2661,2.6963,1.4658,0.35,0.15,0.5,1.1078,2.0222,1.2215,0.365,0.0,0.2481,0.486,0.0,0.3559,0.148,1.0,0.3519,0.717,0.4584,0.0647,0.101,0.0753,,,
2025-10-15,182,0.3132,0.1099,0.456,182,0.4,0.4,0.8,1.2772,3.64,1.7542,0.5,0.3,0.8,1.5965,2.73,1.7542,0.55,0.3,0.85,1.7561,2.73,1.8639,0.8,0.6,1.4,2.5544,5.46,3.0699,0.6,0.4,1.0,1.9158,3.64,2.1928,0.55,0.35,0.9,1.7561,3.185,1.9735,0.4,0.0,0.4,1.2772,0.0,0.8771,0.6,0.0,0.6,1.9158,0.0,1.3157,0.45,0.05,0.5,1.4368,0.455,1.0964,0.626,0.1,0.2544,0.17,0.0,0.2903,0.187,0.9,0.5294,0.7912,0.4694,0.3498,0.3507,0.2423,0.016,0.0,0.3333
2025-10-16,498,0.2892,0.0582,0.3554,498,0.8,0.0,0.8,2.7667,0.0,2.2508,0.5,0.1,0.6,1.7292,1.7172,1.6881,0.6,0.05,0.65,2.075,0.8586,1.8288,0.8,0.0,0.8,2.7667,0.0,2.2508,0.7,0.1,0.9,2.4208,1.7172,2.5322,0.6,0.1,0.75,2.075,1.7172,2.1102,0.6,0.2,0.8,2.075,3.4345,2.2508,0.6,0.2,0.8,2.075,3.4345,2.2508,0.45,0.1,0.55,1.5563,1.7172,1.5475,0.582,0.0,0.2034,0.135,0.1,0.2687,0.261,0.9,0.5,0.8112,0.4379,0.3827,0.3704,0.2276,0.022,0.0,0.1818
2025-10-17,183,0.2459,0.0492,0.3279,183,0.2,0.0,0.2,0.8133,0.0,0.61,0.4,0.2,0.8,1.6267,4.0667,2.44,0.45,0.15,0.7,1.83,3.05,2.135,0.4,0.0,0.4,1.6267,0.0,1.22,0.5,0.2,0.9,2.0333,4.0667,2.745,0.45,0.1,0.65,1.83,2.0333,1.9825,0.8,0.2,1.0,3.2533,4.0667,3.05,0.6,0.2,0.8,2.44,4.0667,2.44,0.4,0.15,0.55,1.6267,3.05,1.6775,0.552,0.0,0.2178,0.208,0.1,0.2105,0.186,0.8,0.3824,0.8033,0.4684,0.2266,0.2274,0.1998,0.055,0.1,0.2
2025-10-18,590,0.2678,0.0559,0.339,590,0.8,0.4,1.6,2.9873,7.1515,4.72,0.7,0.4,1.5,2.6139,7.1515,4.425,0.55,0.3,1.05,2.0538,5.3636,3.0975,0.8,0.4,1.6,2.9873,7.1515,4.72,0.7,0.3,1.4,2.6139,5.3636,4.13,0.55,0.2,0.95,2.0538,3.5758,2.8025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.05,0.2,0.5601,0.8939,0.59,0.481,0.0,0.1162,0.276,0.0,0.3067,0.178,1.0,0.5524,0.8339,0.4079,0.3767,0.3621,0.1231,0.064,0.0,0.4474
2025-10-19,183,0.235,0.0656,0.3169,183,0.8,0.8,1.6,3.4047,12.2,5.0483,0.5,0.5,1.2,2.1279,7.625,3.7862,0.55,0.3,0.95,2.3407,4.575,2.9974,0.8,0.6,1.8,3.4047,9.15,5.6793,0.7,0.5,1.4,2.9791,7.625,4.4172,0.5,0.3,0.9,2.1279,4.575,2.8397,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.3,0.8512,1.525,0.9466,0.2,0.05,0.25,0.8512,0.7625,0.7888,0.525,0.0,0.1875,0.251,0.0,0.2174,0.142,1.0,0.3462,0.8579,0.4041,0.2816,0.2571,0.1231,0.082,0.0,0.4
2025-10-20,229,0.262,0.0306,0.2969,229,0.6,0.2,0.8,2.29,6.5429,2.6941,0.6,0.2,0.8,2.29,6.5429,2.6941,0.45,0.1,0.55,1.7175,3.2714,1.8522,0.6,0.2,0.8,2.29,6.5429,2.6941,0.5,0.1,0.6,1.9083,3.2714,2.0206,0.4,0.1,0.5,1.5267,3.2714,1.6838,0.6,0.0,0.6,2.29,0.0,2.0206,0.4,0.0,0.4,1.5267,0.0,1.3471,0.3,0.05,0.4,1.145,1.6357,1.3471,0.528,0.0,0.157,0.157,0.0,0.3333,0.166,0.9,0.5,0.8515,0.4192,0.3125,0.3046,0.1257,0.148,0.1,0.2941
2025-10-21,452,0.2987,0.0531,0.3628,452,1.0,0.2,1.4,3.3481,3.7667,3.8585,1.0,0.3,1.4,3.3481,5.65,3.8585,0.75,0.25,1.1,2.5111,4.7083,3.0317,0.8,0.0,0.8,2.6785,0.0,2.2049,0.8,0.3,1.2,2.6785,5.65,3.3073,0.8,0.3,1.2,2.6785,5.65,3.3073,0.2,0.2,0.4,0.6696,3.7667,1.1024,0.2,0.2,0.4,0.6696,3.7667,1.1024,0.2,0.1,0.3,0.6696,1.8833,0.8268,0.553,0.0,0.22,0.179,0.0,0.2963,0.122,0.8,0.5455,0.8252,0.4096,0.2828,0.3025,0.2071,0.146,0.2,0.3939
